tweet_id,airline_sentiment,text,tweet_coord,tweet_created,tweet_location
5.70E+17,neutral,@VirginAmerica What @dhepburn said.,,24/02/2015 11:35,
5.70E+17,positive,@VirginAmerica plus you've added commercials to the experience... tacky.,,24/02/2015 11:15,
5.70E+17,neutral,@VirginAmerica I didn't today... Must mean I need to take another trip!,,24/02/2015 11:15,Lets Play
5.70E+17,negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,24/02/2015 11:15,
5.70E+17,negative,@VirginAmerica and it's a really big bad thing about it,,24/02/2015 11:14,
5.70E+17,negative,@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.,,,
"it's really the only bad thing about flying VA""",,,,,
5.70E+17,positive,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,24/02/2015 11:13,San Francisco CA
5.70E+17,neutral,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,24/02/2015 11:12,Los Angeles
5.70E+17,positive,"@virginamerica Well, I didn't…but NOW I DO! :-D",,24/02/2015 11:11,San Diego
5.70E+17,positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,24/02/2015 10:53,Los Angeles
5.70E+17,neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,24/02/2015 10:48,1/1 loner squad
5.70E+17,positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,24/02/2015 10:30,NYC
5.70E+17,positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,24/02/2015 10:30,NYC
5.70E+17,positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,24/02/2015 10:21,
5.70E+17,positive,@VirginAmerica Thanks!,,24/02/2015 10:15,"San Francisco, CA"
5.70E+17,negative,@VirginAmerica SFO-PDX schedule is still MIA.,,24/02/2015 10:01,"palo alto, ca"
